Card ID,Card Name,Category,Avg Copies in Deck,Play Frequency (%),Win Rate Contribution (%)
723,Bellibolt ex,Pokemon (Stage 1 ex),4,98.5,68.2
722,Bellibolt,Pokemon (Stage 1),4,85.0,61.4
721,Tadbulb,Pokemon (Basic),2,99.0,58.0
1219,Electric Generator,Trainer (Item),4,94.0,66.5
1262,Boss's Orders,Trainer (Supporter),2,78.0,64.0
1121,Ultra Ball,Trainer (Item),2,88.0,59.5
1092,Professor's Research,Trainer (Supporter),1,62.0,55.0
1145,Switch,Trainer (Item),2,70.0,57.5
1163,Heavy Baton,Trainer (Tool),2,65.0,62.0
3,Basic Energy,Energy,33,100.0,50.0
