candidate,opponent,games,wins,losses,draws,win_rate,ci_low,ci_high,avg_turns,p95_latency_ms,p99_latency_ms,illegal_actions,fallback_rate
Candidate_A_Baseline_4_4_4,Random_Bot,10,8,2,0,80.0,49.02,94.33,73.4,4.55,7.064,0,0.0
Candidate_A_Baseline_4_4_4,Heuristic_Bellibolt,10,9,1,0,90.0,59.58,98.21,98.4,5.016,6.914,0,0.0
Candidate_A_Baseline_4_4_4,Crustle_Safeguard_Wall,10,9,1,0,90.0,59.58,98.21,85.9,5.366,6.096,0,0.0
Candidate_A_Baseline_4_4_4,Alakazam_Spread,10,9,1,0,90.0,59.58,98.21,80.5,4.646,7.442,0,0.0
Candidate_B_Consistency_4_3_3,Random_Bot,10,9,1,0,90.0,59.58,98.21,105.3,5.01,6.541,0,0.0
Candidate_B_Consistency_4_3_3,Heuristic_Bellibolt,10,9,1,0,90.0,59.58,98.21,157.8,6.291,7.341,0,0.0
Candidate_B_Consistency_4_3_3,Crustle_Safeguard_Wall,10,8,2,0,80.0,49.02,94.33,137.4,5.702,6.972,0,0.0
Candidate_B_Consistency_4_3_3,Alakazam_Spread,10,8,2,0,80.0,49.02,94.33,153.5,5.683,6.949,0,0.0
Candidate_C_Anti_Crustle_Tech,Random_Bot,10,9,1,0,90.0,59.58,98.21,80.4,4.467,6.553,0,0.0
Candidate_C_Anti_Crustle_Tech,Heuristic_Bellibolt,10,7,3,0,70.0,39.68,89.22,158.4,5.728,7.444,0,0.0
Candidate_C_Anti_Crustle_Tech,Crustle_Safeguard_Wall,10,8,2,0,80.0,49.02,94.33,157.1,6.143,8.403,0,0.0
Candidate_C_Anti_Crustle_Tech,Alakazam_Spread,10,9,1,0,90.0,59.58,98.21,76.8,4.58,7.669,0,0.0
Candidate_D_Crustle_Control,Random_Bot,10,10,0,0,100.0,72.25,100.0,30.9,3.747,5.586,0,0.0
Candidate_D_Crustle_Control,Heuristic_Bellibolt,10,10,0,0,100.0,72.25,100.0,57.3,4.163,4.683,0,0.0
Candidate_D_Crustle_Control,Crustle_Safeguard_Wall,10,10,0,0,100.0,72.25,100.0,37.3,3.291,3.962,0,0.0
Candidate_D_Crustle_Control,Alakazam_Spread,10,10,0,0,100.0,72.25,100.0,42.1,4.107,5.257,0,0.0
Candidate_E_Alakazam_Psychic,Random_Bot,10,7,3,0,70.0,39.68,89.22,36.1,3.285,3.762,0,0.0
Candidate_E_Alakazam_Psychic,Heuristic_Bellibolt,10,10,0,0,100.0,72.25,100.0,96.4,4.97,7.271,0,0.0
Candidate_E_Alakazam_Psychic,Crustle_Safeguard_Wall,10,10,0,0,100.0,72.25,100.0,68.4,4.207,5.435,0,0.0
Candidate_E_Alakazam_Psychic,Alakazam_Spread,10,10,0,0,100.0,72.25,100.0,54.8,4.122,5.228,0,0.0
