game_idx,matchup,turn,category,severity,chosen_action,optimal_action,estimated_impact
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,1,PRIZE_RACE,CRITICAL,Selected non-attack action while opponent active in KO range,Execute lethal knockout attack for prize lead,Missed match-point / prize claim (-300.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,3,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,5,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,5,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,7,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,9,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,9,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,11,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,11,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
Crustle_Control_Safeguard_g1,Crustle_Control_Safeguard,13,TACTICAL,CRITICAL,Electro Bullet vs Safeguard Crustle (0 damage),Pass / Retreat to single-prize attacker,Wasted attack turn against damage-immune target (-220.0 pts)
